pokedex_number	Name	type1	type2	abilities	hp	attack	defense	sp_attack	sp_defense	speed	Red	Blue	Blue (Japan)	Yellow	Gold	Silver	Crystal	Ruby	Sapphire	Emerald	FireRed	LeafGreen	Colosseum	XD	Diamond	Pearl	Platinum	HeartGold	SoulSilver	Pal Park	Black	White	Black 2	White 2	X	Y	Omega Ruby	Alpha Sapphire	Sun	Moon	Ultra Sun	Ultra Moon	Let's Go Pikachu	Let's Go Eevee	Sword	Shield	Expansion Pass	Brilliant Diamond	Shining Pearl	Legends: Arceus	Scarlet	Violet
#0746	Wishiwashi	water		['Schooling']	45	20	20	25	25	40																													Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts, Secluded Shore (Fishing)	Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts, Secluded Shore (Fishing)	Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts (Fishing)	Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Kala'e Bay, Brooklet Hill, Akala Outskirts (Fishing)	Unobtainable	Unobtainable	Route 9, Hulbury, West Lake Axewell, East Lake Axewell, Axew's EyeEast Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Cap, Dusty Bowl, Lake of Outrage (Max Raid Battle)	Route 9, Hulbury, West Lake Axewell, East Lake Axewell, Axew's EyeEast Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Cap, Dusty Bowl, Lake of Outrage (Max Raid Battle)	 Challenge Beach, Stepping-Stone Sea, Insular Sea, Honeycalm Island, Honeycalm SeaFields of Honor, Loop Lagoon (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0747	Mareanie	poison	water	['Merciless', 'Limber', 'Regenerator']	50	53	62	43	52	45																													Route 9, Melemele Sea (SOS Battle)	Route 9, Melemele Sea (SOS Battle)	Route 9, Melemele Sea (SOS Battle)	Route 9, Melemele Sea (SOS Battle)	Unobtainable	Unobtainable	Route 9, Motostoke Riverbank, Giant's MirrorMotostoke RiverbankSw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's CapSw, Lake of Outrage (Max Raid Battle)	Route 9, Motostoke Riverbank, Giant's MirrorMotostoke RiverbankSw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's CapSw, Lake of Outrage (Max Raid Battle)	 Loop LagoonLoop Lagoon (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	East Province: East Paldean SeaTera Raid Battles (3★)	East Province: East Paldean SeaTera Raid Battles (3★)
#0748	Toxapex	poison	water	['Merciless', 'Limber', 'Regenerator']	50	63	152	53	142	35																													Evolve Mareanie	Evolve Mareanie	Evolve Mareanie	Evolve Mareanie	Unobtainable	Unobtainable	Route 9Motostoke RiverbankSw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's CapSw, Lake of Outrage (Max Raid Battle)	Route 9Motostoke RiverbankSw, East Lake Axewell, West Lake Axewell, South Lake Miloch, North Lake Miloch, Bridge Field, Giant's Mirror, Giant's CapSw, Lake of Outrage (Max Raid Battle)	 Fields of Honor, Loop Lagoon (Wanderer)Loop Lagoon (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	East Province: Area One (Normal Tera Type)Tera Raid Battles (6★)	East Province: Area One (Normal Tera Type)Tera Raid Battles (6★)
#0749	Mudbray	ground		['Own Tempo', 'Stamina', 'Inner Focus']	70	100	70	45	55	45																													Routes 4, 6, and 12, Paniola Ranch, Blush Mountain	Routes 4, 6, and 12, Paniola Ranch, Blush Mountain	Routes 4, 6, and 12, Paniola Ranch, Blush Mountain	Routes 4, 6, and 12, Paniola Ranch, Blush Mountain	Unobtainable	Unobtainable	Route 3, Rolling Fields, Dappled Grove, West Lake Axewell, East Lake Axewell, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's CapBridge Field (Max Raid Battle)	Route 3, Rolling Fields, Dappled Grove, West Lake Axewell, East Lake Axewell, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's CapBridge Field (Max Raid Battle)		Unobtainable	Unobtainable	 Unobtainable	South Province: Area One, Area Two, Area FiveEast Province: Area TwoWest Province: Area OneNorth Province: Dalizapa PassageTera Raid Battles (2★)	South Province: Area One, Area Two, Area FiveEast Province: Area TwoWest Province: Area OneNorth Province: Dalizapa PassageTera Raid Battles (2★)
#0750	Mudsdale	ground		['Own Tempo', 'Stamina', 'Inner Focus']	100	125	100	55	85	35																													Poni Plains	Poni Plains	Poni PlainsRoute 12, Blush Mountain (SOS Battle)	Poni PlainsRoute 12, Blush Mountain (SOS Battle)	Unobtainable	Unobtainable	Axew's Eye, Giant's Seat, Dusty BowlRolling Fields, Bridge Field (Max Raid Battle)	Axew's Eye, Giant's Seat, Dusty BowlRolling Fields, Bridge Field (Max Raid Battle)	 Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	South Province: Area SixNorth Province: Area One, Dalizapa Passage, Glaseado MountainTera Raid Battles (5★)	South Province: Area SixNorth Province: Area One, Dalizapa Passage, Glaseado MountainTera Raid Battles (5★)
#0751	Dewpider	water	bug	['Water Bubble', 'Water Absorb']	38	40	52	40	72	27																													Brooklet HillDay (Surfing and walking)	Brooklet HillDay (Surfing and walking)	Brooklet HillDay (Surfing and walking)	Brooklet HillDay (Surfing and walking)	Unobtainable	Unobtainable	Route 5, Motostoke Riverbank, Stony WildernessRolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Lake of Outrage, Dusty Bowl (Max Raid Battle)	Route 5, Motostoke Riverbank, Stony WildernessRolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Lake of Outrage, Dusty Bowl (Max Raid Battle)	 Giant's Bed, Old Cemetery, Giant's Foot, Frigid Sea, Three-Point Pass, Ballimere Lake	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0752	Araquanid	water	bug	['Water Bubble', 'Water Absorb']	68	70	92	50	132	42																													Malie GardenDay	Malie GardenDay	 Malie GardenDay	 Malie GardenDayReceived from Samson Oak at Heahea Beach* (Totem-sized)	Unobtainable	Unobtainable	Lake of OutrageStony Wilderness (Wanderer)Rolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Dusty Bowl, Lake of Outrage (Max Raid Battle)	Lake of OutrageStony Wilderness (Wanderer)Rolling Fields, Dappled Grove, West Lake Axewell, South Lake Miloch, Bridge Field, Dusty Bowl, Lake of Outrage (Max Raid Battle)	 Giant's Bed, Old Cemetery, Giant's Foot, Frigid Sea, Three-Point Pass, Ballimere LakeMax Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0753	Fomantis	grass		['Leaf Guard', 'Contrary']	40	55	35	50	35	35																													Route 5, Lush Jungle	Route 5, Lush Jungle	Route 5, Lush Jungle	Route 5, Lush Jungle	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Fields of Honor, Soothing Wetlands, Challenge Beach, Forest of Focus, Training Lowlands	Unobtainable	Unobtainable	 Unobtainable	South Province: Area OneEast Province: Tagtree ThicketTera Raid Battles (1★)	South Province: Area OneEast Province: Tagtree ThicketTera Raid Battles (1★)
#0754	Lurantis	grass		['Leaf Guard', 'Contrary']	70	105	90	80	90	45																													Evolve Fomantis	Evolve Fomantis	 Received from Samson Oak at Heahea Beach* (Totem-sized)	 Evolve Fomantis	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Challenge Beach, Forest of Focus (Wanderer)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat TrailTera Raid Battles (4★)	North Province: Area One, Area Two, Area Three, Casseroya Lake, Socarrat TrailTera Raid Battles (4★)
#0755	Morelull	grass	fairy	['Illuminate', 'Effect Spore', 'Rain Dish']	40	35	55	65	75	15																													Route 11, Brooklet Hill, Lush JungleNight	Route 11, Brooklet Hill, Lush JungleNight	Brooklet Hill, Lush JungleNight	Brooklet Hill, Lush JungleNight	Unobtainable	Unobtainable	Giant's Mirror, Hammerlocke HillsRolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)	Giant's Mirror, Hammerlocke HillsRolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)	 Fields of Honor (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0756	Shiinotic	grass	fairy	['Illuminate', 'Effect Spore', 'Rain Dish']	60	45	80	90	100	30																													Evolve Morelull	Evolve Morelull	Route 11Night	Route 11Night	Unobtainable	Unobtainable	Glimwood TangleRolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)	Glimwood TangleRolling Fields, Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)	 Fields of Honor (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0757	Salandit	poison	fire	['Corrosion', 'Oblivious']	48	44	40	71	40	77																													Route 8, Wela Volcano Park	Route 8, Wela Volcano Park	Route 8, Wela Volcano Park, Lush Jungle (Cave)	Route 8, Wela Volcano Park, Lush Jungle (Cave)	Unobtainable	Unobtainable	 Stony WildernessGiant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)	 Motostoke Outskirts, Motostoke Riverbank, Stony WildernessMotostoke Riverbank, East Lake Axewell, North Lake Miloch, Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)	 Challenge RoadFields of Honor, Loop Lagoon (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	South Province: Alfornada CavernEast Province: Area Two, Area ThreeWest Province: Area One, Area TwoNorth Province: Dalizapa Passage, Glaseado MountainEast Province: Area One (Dragon Tera Type)Tera Raid Battles (2★)	South Province: Alfornada CavernEast Province: Area Two, Area ThreeWest Province: Area One, Area TwoNorth Province: Dalizapa Passage, Glaseado MountainEast Province: Area One (Dragon Tera Type)Tera Raid Battles (2★)
#0758	Salazzle	poison	fire	['Corrosion', 'Oblivious']	68	64	60	111	60	117																													Evolve Salandit♀	Evolve Salandit♀	 Wela Volcano Park, Lush Jungle (SOS Battle)	 Wela Volcano Park, Lush Jungle (Cave) (SOS Battle)Received from Samson Oak at Heahea Beach* (Totem-sized)	Unobtainable	Unobtainable	 Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)	 Motostoke Riverbank, East Lake Axewell, North Lake Miloch, Giant's Cap, Stony Wilderness, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Max Raid Battle)	 Challenge Road (Wanderer)Fields of Honor, Loop Lagoon (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	South Province: Area Four, Alfornada CavernNorth Province: Area One, Area Two, Area Three, Dalizapa Passage, Glaseado Mountain	South Province: Area Four, Alfornada CavernNorth Province: Area One, Area Two, Area Three, Dalizapa Passage, Glaseado Mountain
#0759	Stufful	normal	fighting	['Fluffy', 'Klutz', 'Cute Charm']	70	75	50	45	50	50																													Route 8, Akala Outskirts	Route 8, Akala Outskirts	Route 8, Akala Outskirts	Route 8, Akala Outskirts	Unobtainable	Unobtainable	Route 5, East Lake Axewell, Bridge Field, Dappled Grove, Giant's Seat, Hammerlocke Hills, North Lake MilochStony WildernessSw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)	Route 5, East Lake Axewell, Bridge Field, Dappled Grove, Giant's Seat, Hammerlocke Hills, North Lake MilochStony WildernessSw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)	 Fields of Honor (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0760	Bewear	normal	fighting	['Fluffy', 'Klutz', 'Unnerve']	120	125	80	55	60	60																													Poni Gauntlet	Poni Gauntlet	Poni GauntletHau'oli City (One)	Poni GauntletHau'oli City (One)	Unobtainable	Unobtainable	Axew's Eye, Giant's Seat, Lake of OutrageStony WildernessSw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)	Axew's Eye, Giant's Seat, Lake of OutrageStony WildernessSw, Rolling Fields, East Lake Axewell, North Lake Miloch, Dusty Bowl (Max Raid Battle)	 Fields of Honor (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0761	Bounsweet	grass		['Leaf Guard', 'Oblivious', 'Sweet Veil']	42	30	38	30	38	32																													Lush JungleTrade Lillipup at Route 5	Lush JungleTrade Lillipup at Route 5	Breed Steenee or Tsareena	Breed Steenee or Tsareena	Unobtainable	Unobtainable	Rolling Fields, Dappled Grove, West Lake Axewell, Watchtower Ruins, East Lake Axewell, Stony WildernessDappled Grove, Giant's Mirror (Max Raid Battle)	Rolling Fields, Dappled Grove, West Lake Axewell, Watchtower Ruins, East Lake Axewell, Stony WildernessDappled Grove, Giant's Mirror (Max Raid Battle)		Unobtainable	Unobtainable	 Unobtainable	South Province: Area One, Area TwoEast Province: Area One, Area TwoTera Raid Battles (1★)	South Province: Area One, Area TwoEast Province: Area One, Area TwoTera Raid Battles (1★)
#0762	Steenee	grass		['Leaf Guard', 'Oblivious', 'Sweet Veil']	52	40	48	40	48	62																													Trade Granbull in Seafolk Village	Trade Granbull in Seafolk Village	Lush Jungle	Lush Jungle	Unobtainable	Unobtainable	Axew's EyeDappled Grove, Giant's Mirror (Max Raid Battle)	Axew's EyeDappled Grove, Giant's Mirror (Max Raid Battle)	 Loop Lagoon (Max Raid Battle)	Unobtainable	Unobtainable	 Unobtainable	East Province: Area One, Area TwoWest Province: Area ThreeTera Raid Battles (3★)	East Province: Area One, Area TwoWest Province: Area ThreeTera Raid Battles (3★)
#0763	Tsareena	grass		['Leaf Guard', 'Queenly Majesty', 'Sweet Veil']	72	120	98	50	98	72																													Evolve Steenee	Evolve Steenee	Evolve Steenee	Evolve Steenee	Unobtainable	Unobtainable	Stony WildernessDappled Grove, Giant's Mirror (Max Raid Battle)	Stony WildernessDappled Grove, Giant's Mirror (Max Raid Battle)	 Loop Lagoon (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	North Province: Socarrat Trail (Psychic Tera Type)Tera Raid Battles (5★)	North Province: Socarrat Trail (Psychic Tera Type)Tera Raid Battles (5★)
#0764	Comfey	fairy		['Flower Veil', 'Triage', 'Natural Cure']	51	52	90	82	110	100																													Lush Jungle	Lush Jungle	Lush Jungle, Poké Pelago*	Lush Jungle, Poké Pelago*	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Fields of Honor, Soothing Wetlands, Training Lowlands, Insular Sea, Honeycalm Island (Wanderer)Fields of Honor (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0765	Oranguru	normal	psychic	['Inner Focus', 'Telepathy', 'Symbiosis']	90	60	80	90	110	60																													 Trade, Event	 Lush Jungle	 Trade, Event	 Lush Jungle	Unobtainable	Unobtainable	 Trade	 Glimwood TangleRolling Fields, East Lake Axewell, Motostoke Riverbank, Bridge Field, Stony Wilderness (Max Raid Battle)		Unobtainable	Unobtainable	 Unobtainable	 East Province: Tagtree ThicketNorth Province: Area TwoTera Raid Battles (3★, 5★)	 Union CircleTera Raid Battle Search (3★, 5★)
#0766	Passimian	fighting		['Receiver', 'Defiant']	100	120	90	40	60	80																													 Lush Jungle	 Trade, Event	 Lush Jungle	 Trade, Event	Unobtainable	Unobtainable	 Glimwood TangleRolling Fields, North Lake Miloch, Dusty Bowl (Max Raid Battle)	 Trade		Unobtainable	Unobtainable	 Unobtainable	 Union CircleTera Raid Battle Search (3★, 5★)	 East Province: Tagtree ThicketNorth Province: Area TwoTera Raid Battles (3★, 5★)
#0767	Wimpod	bug	water	['Wimp Out']	25	35	40	20	30	80																													Route 8, Poni Breaker Coast, Poni Wilds	Route 8, Poni Breaker Coast, Poni Wilds	Dividing Peak Tunnel, Route 8, Poni Breaker Coast	Dividing Peak Tunnel, Route 8, Poni Breaker Coast	Unobtainable	Unobtainable	Galar Mine No. 2, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank, Bridge FieldRolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)	Galar Mine No. 2, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank, Bridge FieldRolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)	 Courageous Cavern	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0768	Golisopod	bug	water	['Emergency Exit']	75	125	140	60	90	40																													Evolve Wimpod	Evolve Wimpod	Evolve Wimpod	Evolve Wimpod	Unobtainable	Unobtainable	Lake of OutrageRolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)	Lake of OutrageRolling Fields, Dappled Grove, South Lake Miloch, Bridge Field (Max Raid Battle)	 Challenge Beach, Courageous Cavern (Wanderer)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0769	Sandygast	ghost	ground	['Water Compaction', 'Sand Veil']	55	55	80	70	45	15																													Hano Beach	Hano Beach	 Hano Beach	 Hano BeachRoute 15 (One)	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Loop Lagoon	Unobtainable	Unobtainable	 Unobtainable	South Province: Area FiveEast Province: Area TwoWest Province: Area TwoWest Province: Asado Desert (Grass Tera Type)Tera Raid Battles (2★)	South Province: Area FiveEast Province: Area TwoWest Province: Area TwoWest Province: Asado Desert (Grass Tera Type)Tera Raid Battles (2★)
#0770	Palossand	ghost	ground	['Water Compaction', 'Sand Veil']	85	75	110	100	75	35																													Evolve Sandygast	Evolve Sandygast	Evolve Sandygast	Evolve Sandygast	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Loop Lagoon (Wanderer)Challenge Beach, Courageous Cavern, Stepping-Stone Sea (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	West Province: Area TwoNorth Province: Casseroya Lake	West Province: Area TwoNorth Province: Casseroya Lake
#0771	Pyukumuku	water		['Innards Out', 'Unaware']	55	60	130	30	130	5																													Route 7, Hano Beach (Surfing)Poké Pelago*	Route 7, Hano Beach (Surfing)Poké Pelago*	Route 7, Hano Beach (Surfing)Poké Pelago*	Route 7, Hano Beach (Surfing)Poké Pelago*	Unobtainable	Unobtainable	Route 9, South Lake Miloch (Overworld)Giant's Seat (Fishing)Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)	Route 9, South Lake Miloch (Overworld)Giant's Seat (Fishing)Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)	 Loop Lagoon (Max Raid Battle)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0772	Type: Null	normal		['Battle Armor']	95	95	95	95	95	59																													Received from Gladion at Aether Paradise after becoming Champion	Received from Gladion at Aether Paradise after becoming Champion	Received from Wicke at Ancient Poni Path after becoming ChampionReceived from Wicke at Aether Paradise if party and boxes are full at Ancient Poni Path	Received from Wicke at Ancient Poni Path after becoming ChampionReceived from Wicke at Aether Paradise if party and boxes are full at Ancient Poni Path	Unobtainable	Unobtainable	Received from a Macro Cosmos employee at the Battle Tower after becoming Champion	Received from a Macro Cosmos employee at the Battle Tower after becoming Champion		Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0773	Silvally	normal		['RKS System']	95	95	95	95	95	95																													Evolve Type: Null	Evolve Type: Null	Evolve Type: Null	Evolve Type: Null	Unobtainable	Unobtainable	Evolve Type: Null	Evolve Type: Null		Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0774	Minior	rock	flying	['Shields Down']	60	60	100	60	100	60																													Mount Hokulani	Mount Hokulani	Mount Hokulani	Mount Hokulani	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0775	Komala	normal		['Comatose']	65	115	65	75	95	65																													Route 11	Route 11	Route 11	Route 11	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Unobtainable	Unobtainable	 Unobtainable	South Province: Area OneEast Province: Area One, Area Two, Tagtree ThicketWest Province: Area ThreeTera Raid Battles (4★)	South Province: Area OneEast Province: Area One, Area Two, Tagtree ThicketWest Province: Area ThreeTera Raid Battles (4★)
#0776	Turtonator	fire	dragon	['Shell Armor']	60	78	135	91	85	36																													 Blush Mountain	 Trade, Event	 Blush Mountain	 Trade	Unobtainable	Unobtainable	 Lake of OutrageRolling Fields, Axew's Eye, Stony Wilderness, Dusty Bowl, Hammerlocke Hills (Max Raid Battle)	 Trade		Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0777	Togedemaru	electric	steel	['Iron Barbs', 'Lightning Rod', 'Sturdy']	65	98	63	40	73	96																													Blush Mountain	Blush Mountain	 Blush Mountain	 Blush MountainReceived from Samson Oak at Heahea Beach* (Totem-sized)	Unobtainable	Unobtainable	Route 8, Lake of OutrageGiant's Seat, Motostoke Riverbank, Stony Wilderness, Lake of Outrage, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)	Route 8, Lake of OutrageGiant's Seat, Motostoke Riverbank, Stony Wilderness, Lake of Outrage, Giant's Mirror, Hammerlocke Hills (Max Raid Battle)	 Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0778	Mimikyu	ghost	fairy	['Disguise']	55	90	80	50	105	96																													Thrifty Megamart (Abandoned Site)	Thrifty Megamart (Abandoned Site)	Thrifty Megamart (Abandoned Site)Received from Samson Oak at Heahea Beach* (Totem-sized)	Thrifty Megamart (Abandoned Site)Received from Samson Oak at Heahea Beach* (Totem-sized)	Unobtainable	Unobtainable	Giant's MirrorBridge Field (Wanderer)Hammerlocke Hills, Rolling Fields (Max Raid Battle)	Giant's MirrorBridge Field (Wanderer)Hammerlocke Hills, Rolling Fields (Max Raid Battle)	 Slippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Giant's Foot, Frigid Sea, Three-Point Pass, Ballimere LakeSlippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Giant's Foot, Ballimere Lake (Wanderer)Max Lair (Dynamax Adventure)	Unobtainable	Unobtainable	 Unobtainable	East Province: Area Two, Tagtree ThicketWest Province: Area ThreeNorth Province: Area Two (Fairy Tera Type)Tera Raid Battles (5★, 6★)	East Province: Area Two, Tagtree ThicketWest Province: Area ThreeNorth Province: Area Two (Fairy Tera Type)Tera Raid Battles (5★, 6★)
#0779	Bruxish	water	psychic	['Dazzling', 'Strong Jaw', 'Wonder Skin ']	68	105	70	70	70	92																													Routes 13, 14, and 15, Secluded Shore (Fishing)	Routes 13, 14, and 15, Secluded Shore (Fishing)	Routes 13, 14, and 15 (Fishing)	Routes 13, 14, and 15 (Fishing)	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Unobtainable	Unobtainable	 Unobtainable	East Province: East Paldean SeaWest Province: West Paldean SeaTera Raid Battles (3★)	East Province: East Paldean SeaWest Province: West Paldean SeaTera Raid Battles (3★)
#0780	Drampa	normal	dragon	['Berserk', 'Sap Sipper', 'Cloud Nine']	78	60	85	135	91	36																													 Trade, Event	 Mount Lanakila	 Trade	 Mount Lanakila	Unobtainable	Unobtainable	 Trade	 Lake of OutrageRolling Fields, Axew's Eye (Max Raid Battle)		Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0781	Dhelmise	ghost	grass	['Steelworker']	70	131	100	86	90	40																													Seafolk Village (Fishing)	Seafolk Village (Fishing)	Seafolk Village (Fishing)	Seafolk Village (Fishing)	Unobtainable	Unobtainable	Route 9Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror (Max Raid Battle)	Route 9Dappled Grove, Bridge Field, Stony Wilderness, Giant's Mirror (Max Raid Battle)	 Challenge Beach, Frigid Sea (Fishing)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0782	Jangmo-o	dragon		['Bulletproof', 'Soundproof', 'Overcoat']	45	55	65	45	45	45																													Vast Poni Canyon	Vast Poni Canyon	Vast Poni Canyon	Vast Poni Canyon	Unobtainable	Unobtainable	 Lake of OutrageAxew's Eye, Rolling Fields (Max Raid Battle)	 Trade		Unobtainable	Unobtainable	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
#0783	Hakamo-o	dragon	fighting	['Bulletproof', 'Soundproof', 'Overcoat']	55	75	90	65	70	65																													Vast Poni Canyon (SOS Battle)	Vast Poni Canyon (SOS Battle)	Vast Poni Canyon (SOS Battle)	Vast Poni Canyon (SOS Battle)	Unobtainable	Unobtainable	 Lake of OutrageAxew's Eye, Rolling Fields (Max Raid Battle)	 Trade		Unobtainable	Unobtainable	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
#0784	Kommo-o	dragon	fighting	['Bulletproof', 'Soundproof', 'Overcoat']	75	110	125	100	105	85																													Vast Poni Canyon (SOS Battle)	Vast Poni Canyon (SOS Battle)	 Vast Poni Canyon (SOS Battle)	 Vast Poni Canyon (SOS Battle)Received from Samson Oak at Heahea Beach* (Totem-sized)	Unobtainable	Unobtainable	 Dusty Bowl (Wanderer)Axew's Eye, Rolling Fields (Max Raid Battle)	 Trade		Unobtainable	Unobtainable	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
#0785	Tapu Koko	electric	fairy	['Electric Surge', 'Telepathy']	70	115	85	95	75	130																													Ruins of Conflict (after becoming Champion) (Only one)	Ruins of Conflict (after becoming Champion) (Only one)	Ruins of Conflict (after becoming Champion) (Only one)	Ruins of Conflict (after becoming Champion) (Only one)	Unobtainable	Unobtainable	TradeVersion 1.3.0+	TradeVersion 1.3.0+	 Max Lair (Dynamax Adventure) (Only one)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
#0786	Tapu Lele	psychic	fairy	['Psychic Surge', 'Telepathy']	70	85	75	130	115	95																													Ruins of Life (after becoming Champion) (Only one)	Ruins of Life (after becoming Champion) (Only one)	Ruins of Life (after becoming Champion) (Only one)	Ruins of Life (after becoming Champion) (Only one)	Unobtainable	Unobtainable	TradeVersion 1.3.0+	TradeVersion 1.3.0+	 Max Lair (Dynamax Adventure) (Only one)	Unobtainable	Unobtainable	 Unobtainable	Unobtainable	Unobtainable
